Publicado em 08/11 às 10:02;cód. 1089110506;19.900;Aceita troca,IPVA pago;Carros, vans e utilitários,MERCEDES-BENZ CLASSE A 160 ELEGANCE MEC.,MERCEDES-BENZ,Hatch,1999,69000,1.6,Gasolina,Não,Manual,Assistida,Azul,4 portas,1;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Air bag,Trava elétrica,Ar condicionado,Alarme,Som;Profissional;Lima Duarte;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/classe-a-160-elegance-1089110506;09/11/2022
Publicado em 09/11 às 12:44;cód. 1107493019;13.900;Aceita troca,IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN GOL 1000 MI 2P  / 1000I,VW - VOLKSWAGEN,Hatch,1999,117300,1.0,Gasolina,Não,Manual,Mecânica,Prata,2 portas,4;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Mar de Espanha;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/gol-mi-1-0-8v-1999-1107493019;09/11/2022
Publicado em 09/11 às 10:15;cód. 1093805456;90.000;Aceita troca,IPVA pago;Carros, vans e utilitários,FORD F-250 XL 4.2 V6,FORD,Pick-up,1999,150000,4.0 ou mais,Gasolina,Não,Manual,Hidráulica,Cinza,2 portas,8;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme,Som,Sensor de ré,Câmera de ré;Particular;Tiradentes;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/f250-xlk-completa-1093805456;09/11/2022
Publicado em 08/11 às 18:46;cód. 1107063781;12.000;Não aceita troca,Único dono;Carros, vans e utilitários,TOYOTA COROLLA XEI 1.8/1.8 FLEX 16V MEC.,TOYOTA,SUV,1999,167000,1.4,Automático,Hidráulica,Preto,4 portas,0,Não;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Câmbio,Direção,Cor,Portas,Final de placa,Kit GNV;Air bag,Ar condicionado,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/corola-ano-99-automatico-1107063781;09/11/2022
Publicado em 08/11 às 15:56;cód. 1107019391;9.000;Aceita troca,IPVA pago,Único dono;Carros, vans e utilitários,FIAT UNO CIAO 1.0 FIRE FLEX 8V 5P,FIAT,Hatch,1999,100000,Gasolina,Não,Manual,Mecânica,4 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Combustível,Kit GNV,Câmbio,Direção,Portas,Final de placa;Vidro elétrico;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/troca-somente-em-carro-1107019391;09/11/2022
Publicado em 08/11 às 10:19;cód. 1106858344;9.900;Aceita troca,IPVA pago;Carros, vans e utilitários,GM - CHEVROLET CORSA WIND PIQUET/ CHAMP 1.0 MPFI 2P,GM - CHEVROLET,Hatch,1999,153000,1.0,Gasolina,Não,Manual,Mecânica,Prata,2 portas,1;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/corsa-mpfi-1999-abaixo-da-fipe-1106858344;09/11/2022
Publicado em 07/11 às 12:50;cód. 1106495340;10.500;IPVA pago,Não aceita troca;Carros, vans e utilitários,GM - CHEVROLET CORSA SUPER 1.0 MPFI / 2P E 4P,GM - CHEVROLET,Hatch,1999,230,1.0,Gasolina,Não,Manual,Mecânica,Prata,2 portas,6;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Trava elétrica,Alarme,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/venda-1106495340;09/11/2022
Publicado em 06/11 às 22:52;cód. 1106326287;8.000;Aceita troca,IPVA pago;Carros, vans e utilitários,PEUGEOT 106 KID 1.0,PEUGEOT,Hatch,1999,22555855,1.0,Gasolina,Não,Manual,Mecânica,Cinza,2 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Alarme,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/peugeot-106-raridade-1106326287;09/11/2022
Publicado em 05/11 às 18:44;cód. 1105954739;15.000;Aceita troca,IPVA pago;Carros, vans e utilitários,GM - CHEVROLET ASTRA 2.0/ CD/ GLS 2.0 MPFI 16V 3P,GM - CHEVROLET,Hatch,1999,150000,2.0 - 2.9,Gasolina,Não,Manual,Hidráulica,Preto,2 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme,Som;Particular;Barbacena;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/astra-2-0-16v-136cv-1105954739;09/11/2022
Publicado em 04/11 às 20:04;cód. 1105641806;11.000;Não aceita troca;Carros, vans e utilitários,VW - VOLKSWAGEN GOL SPECIAL/ SPECIAL XTREME 1.0 MI 2P,VW - VOLKSWAGEN,Hatch,1999,111111,1.0,Gasolina,Não,Manual,Hidráulica,Azul,2 portas,8;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Ar condicionado;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/gol-g2-completo-1105641806;09/11/2022
Publicado em 03/11 às 10:13;cód. 1105001241;16.900;IPVA pago,Não aceita troca;Carros, vans e utilitários,GM - CHEVROLET ASTRA GL 1.8 MPFI 3P,GM - CHEVROLET,Hatch,1999,128000,1.8,Gasolina,Não,Manual,Hidráulica,Azul,2 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/astra-raridade-baixo-km-1105001241;09/11/2022
