Publicado em 09/11 às 09:52;cód. 1107403790;11.500;IPVA pago,Não aceita troca;Carros, vans e utilitários,FORD FIESTA GL 1.0 3P,FORD,Hatch,2000,184000,1.0,Gasolina,Não,Manual,Mecânica,Vermelho,2 portas,7;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Profissional;Leopoldina;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/ford-fiesta-gl-1-0-2p-basico-2000-1107403790;09/11/2022
Publicado em 30/10 às 09:32;cód. 1062613768;20.000;;Carros, vans e utilitários,FORD COURIER 1.6 L/ 1.6 FLEX,FORD,2000,286900,1.6,Gasolina,Não,Manual,Branco,2 portas,0;Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Cor,Portas,Final de placa;;Profissional;Goianá;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/courier-2000-1-6-1062613768;09/11/2022
Publicado em 21/09 às 13:44;cód. 1087194089;15.900;Aceita troca;Carros, vans e utilitários,HONDA CIVIC SEDAN EX 1.6 16V AUT. 4P (NACION.),HONDA,Sedã,2000,159000,1.6,Gasolina,Não,Automático,Hidráulica,Prata,4 portas,7;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme,Som;Profissional;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/honda-civic-ex-1-6-comp-aut-04-pts-1087194089;09/11/2022
Publicado em 09/11 às 13:06;cód. 1107502949;13.000;Aceita troca,IPVA pago;Carros, vans e utilitários,GM - CHEVROLET ASTRA COMFORT 2.0 MPFI FLEXPOWER 8V 3P,GM - CHEVROLET,Hatch,2000,170,1.8,Gasolina,Não,Manual,Hidráulica,Vermelho,2 portas,8;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/astra1-8-8v-1107502949;09/11/2022
Publicado em 09/11 às 04:32;cód. 1107304049;7.500;Aceita troca;Carros, vans e utilitários,PEUGEOT 306 SOLEIL 1.8 16V  4P,PEUGEOT,Hatch,2000,197000,1.8,Gasolina,Não,Manual,Hidráulica,Verde,4 portas,2;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Air bag,Trava elétrica,Ar condicionado,Alarme,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/peugeot-306-soleil-1107304049;09/11/2022
Publicado em 08/11 às 12:44;cód. 1101341400;27.000;;Carros, vans e utilitários,FORD RANGER 2.5I CS,FORD,2000,0,Gasolina,Não,Manual,Azul,2 portas;Categoria,Modelo,Marca,Ano,Quilometragem,Combustível,Kit GNV,Câmbio,Cor,Portas;;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/caminhonete-carga-1101341400;09/11/2022
Publicado em 07/11 às 10:29;cód. 1106417977;9.000;IPVA pago,Não aceita troca;Carros, vans e utilitários,FIAT BRAVA ELX  1.6 16V 4P,FIAT,Sedã,2000,183,1.6,Gasolina,Não,Manual,Hidráulica,Cinza,4 portas,2;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme,Som;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/carro-fiat-brava-1106417977;09/11/2022
Publicado em 06/11 às 14:38;cód. 1106188031;None;;Carros, vans e utilitários,FIAT STRADA WORKING 1.5 MPI 8V CE,FIAT,Pick-up,2000,130000,1.5,Gasolina,Não,Manual,Hidráulica,2 portas,2;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Portas,Final de placa;;Particular;Lima Duarte;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/strada-1106188031;09/11/2022
Publicado em 05/11 às 10:55;cód. 1105798262;27.900;Aceita troca,IPVA pago;Carros, vans e utilitários,SUZUKI GRAND VITARA 1.6 16V AUT.,SUZUKI,SUV,2000,185000,1.6,Gasolina,Não,Automático,Hidráulica,Preto,2 portas,1;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme,Som,Sensor de ré,Câmera de ré;Particular;Santos Dumont;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/suzuki-vitara-1105798262;09/11/2022
Publicado em 04/11 às 15:33;cód. 1105548826;15.000;Aceita troca,IPVA pago;Carros, vans e utilitários,HONDA CIVIC SEDAN LX 1.6 16V AUT. 4P,HONDA,Sedã,2000,148000,1.6,Gasolina,Não,Automático,Hidráulica,Prata,4 portas,9;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Alarme;Particular;Barbacena;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/vendo-honda-civic-lx-2000-completo-1105548826;09/11/2022
Publicado em 02/11 às 12:31;cód. 1104623269;9.000;Aceita troca,IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN GOL 1.0 PLUS 8V 2P,VW - VOLKSWAGEN,Hatch,2000,90000,1.0,Gasolina,Não,Hidráulica,Branco,2 portas,8;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Direção,Cor,Portas,Final de placa;;Particular;Juiz de Fora;https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/vendo-gol-g3-1104623269;09/11/2022
