Publicado em 05/11 às 18:34;cód. 1041550733;19.990;Aceita troca,IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,Antigo,1980,94000,1.6,Gasolina,Não,Manual,Mecânica,Branco,2 portas,4;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Profissional;Pouso Alegre;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/vw-fusca-1600-1978-1041550733;10/11/2022
Publicado em 10/11 às 12:57;cód. 1107991797;52.000;IPVA pago,Não aceita troca;Carros, vans e utilitários,GM - CHEVROLET CARAVAN L/SL/S/SS 2.5/4.1/4.2,GM - CHEVROLET,1980,77011,2.0 - 2.9,Gasolina,Não,Manual,Mecânica,Branco,2 portas,5;Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;Guaranésia;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-caravan-77-78-4cc-1107991797;10/11/2022
Publicado em 08/11 às 11:25;cód. 1102400520;22.900;Aceita troca,IPVA pago;Carros, vans e utilitários,FIAT 147 C/ CL,FIAT,Hatch,1980,80000,1.0,Gasolina,Não,Manual,Mecânica,Vermelho,2 portas,3;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Seritinga;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-147-1050cc-1980-raridade-1102400520;10/11/2022
Publicado em 30/10 às 11:10;cód. 1103573724;8.500;IPVA pago,Não aceita troca;Carros, vans e utilitários,VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,Hatch,1980,42800,1.3,Gasolina,Não,Manual,Mecânica,Amarelo,2 portas,2;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;Campestre;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fusca-1300l-1103573724;10/11/2022
Publicado em 26/10 às 09:59;cód. 1096687118;25.000;IPVA pago,Não aceita troca;Carros, vans e utilitários,FORD CORCEL II L,FORD,Sedã,1980,160000,1.6,Álcool,Não,Manual,Mecânica,Verde,2 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;Varginha;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/ford-corcel-1980-sedan-160-000-quilometros-rodados-1096687118;10/11/2022
Publicado em 25/10 às 09:33;cód. 1061563583;30.000;Não aceita troca;Carros, vans e utilitários,GM - CHEVROLET CARAVAN L/SL/S/SS 2.5/4.1/4.2,GM - CHEVROLET,Sedã,1980,5000,4.0 ou mais,Gasolina,Não,Manual,Hidráulica,Prata,2 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;Cambuquira;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/caravan-6-cilindros-79-79-1061563583;10/11/2022
Publicado em 11/10 às 17:42;cód. 1095581974;10.000;Aceita troca,IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,Hatch,1980,55389,1.3,Gasolina,Não,Manual,Mecânica,Verde,2 portas,1;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;Três Corações;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fusca-1095581974;10/11/2022
Publicado em 11/10 às 06:57;cód. 1095293779;69.900;IPVA pago,Não aceita troca;Carros, vans e utilitários,TOYOTA BAND.JIPE CAP.DE AÇO CHAS. LONGO DIESEL,TOYOTA,SUV,1980,315000,Diesel,Não,Manual,Mecânica,Cinza,2 portas,8;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Alfenas;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/toyota-bandeirante-1095293779;10/11/2022
Publicado em 10/10 às 16:14;cód. 1095056808;15.000;IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,1980,1002,1.3,Gasolina,Não,Manual,Mecânica,Branco,2 portas;Categoria,Modelo,Marca,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas;;Particular;Baependi;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/vendo-fusca-1095056808;10/11/2022
Publicado em 30/09 às 14:55;cód. 1091207037;20.500;IPVA pago,Não aceita troca;Carros, vans e utilitários,VW - VOLKSWAGEN BRASILIA 1600 2P,VW - VOLKSWAGEN,Hatch,1980,75000,1.6,Gasolina,Não,Manual,Mecânica,Outra,2 portas,9;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Alarme,Som,Câmera de ré;Particular;Poços de Caldas;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/brasilia-1091207037;10/11/2022
Publicado em 29/09 às 16:37;cód. 1090816923;10.000;Aceita troca,IPVA pago;Carros, vans e utilitários,VW - VOLKSWAGEN FUSCA,VW - VOLKSWAGEN,Hatch,1980,40000,1.6,Gasolina,Não,Manual,Mecânica,Verde,2 portas,4;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Poços de Caldas;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/vende-se-fusca-1977-1090816923;10/11/2022
