Publicado em 09/10 às 06:43;cód. 1094520591;35.000;Aceita troca,IPVA pago;Carros, vans e utilitários,FIAT FIORINO PICK-UP 1.5 I.E./1.3/1.5/HD,FIAT,Pick-up,1991,88000,1.5,Gasolina,Não,Manual,Mecânica,Prata,2 portas,5;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Som;Profissional;Alfenas;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/fiat-fiorino-pick-up-1-5-fiasa-gasolina-placa-de-colecao-impecavel-1094520591;10/11/2022
Publicado em 10/11 às 11:49;cód. 1005161461;25.000;Aceita troca;Carros, vans e utilitários,LADA NIVA 1.6/ CD 4X4,LADA,Antigo,1991,50000,1.8,Gasolina,Não,Manual,Vermelho,2 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Cor,Portas,Final de placa;;Particular;Itapeva;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/lada-niva-4x4-troco-por-jet-ski-yamaha-1005161461;10/11/2022
Publicado em 08/11 às 20:23;cód. 1107108729;15.000;IPVA pago,Não aceita troca;Carros, vans e utilitários,FORD VERONA GLX 1.8 (MODELO ANTIGO),FORD,Sedã,1991,125,1.8,Gasolina,Não,Manual,Mecânica,Outra,2 portas,3;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Ar condicionado,Som;Particular;Campanha;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/verona-91-1107108729;10/11/2022
Publicado em 04/11 às 20:41;cód. 1105651746;25.000;IPVA pago;Carros, vans e utilitários,GM - CHEVROLET MONZA CLASSIC/ SL/E/SR 1.8,GM - CHEVROLET,Sedã,1991,35000,1.8,Gasolina,Não,Manual,Hidráulica,Azul,2 portas,5;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica,Alarme,Som;Particular;Santa Rita do Sapucaí;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/monza-zerado-1991-35-000-km-original-1105651746;10/11/2022
Publicado em 29/10 às 13:37;cód. 1103356462;5.000;Aceita troca;Carros, vans e utilitários,VW - VOLKSWAGEN GOL GT/GTS 1.8,VW - VOLKSWAGEN,Hatch,1991,240000,1.8,Gasolina,Não,Manual,Mecânica,Branco,2 portas,2;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Itapeva;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/gol-1-8-1103356462;10/11/2022
Publicado em 24/10 às 11:14;cód. 1100902982;8.000;Aceita troca,Com multa;Carros, vans e utilitários,VW - VOLKSWAGEN APOLO GL 1.8,VW - VOLKSWAGEN,Sedã,1991,49,1.8,Gasolina,Não,Manual,Mecânica,Cinza,2 portas,5;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Som;Particular;Pouso Alegre;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/venda-ou-troca-1100902982;10/11/2022
Publicado em 23/10 às 20:47;cód. 1100741809;123.456;Aceita troca,IPVA pago;Carros, vans e utilitários,GM - CHEVROLET MONZA SL/E SR 2.0,GM - CHEVROLET,Sedã,1991,150000,2.0 - 2.9,Álcool,Não,Manual,Hidráulica,Vermelho,4 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;Vidro elétrico,Trava elétrica;Particular;Ouro Fino;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/monza-sle-1991-direcao-hidraulica-e-vidros-eletricos-a-alcool-1100741809;10/11/2022
Publicado em 19/10 às 14:03;cód. 1098934651;None;IPVA pago;Carros, vans e utilitários,LADA NIVA 1.6 RC/ PANTANAL 4X4,LADA,Hatch,1991,200000,1.6,Gasolina,Não,Manual,Hidráulica,Vermelho,2 portas,9;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;Passos;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/lada-nova-ano-91-1098934651;10/11/2022
Publicado em 18/10 às 14:22;cód. 1098415998;12.000;;Carros, vans e utilitários,VW - VOLKSWAGEN VOYAGE CL 1.8,VW - VOLKSWAGEN,1991,140000,Gasolina,Não,Manual,Prata;Categoria,Modelo,Marca,Ano,Quilometragem,Combustível,Kit GNV,Câmbio,Cor;;Particular;Itamogi;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/vw-voyage-1098415998;10/11/2022
Publicado em 18/10 às 14:02;cód. 1098405714;7.000;Não aceita troca;Carros, vans e utilitários,FIAT UNO 1.6R MPI / 1.6R / 1.5R,FIAT,Hatch,1991,277075,1.5,Gasolina,Não,Manual,Mecânica,Outra,2 portas,0;Categoria,Modelo,Marca,Tipo de veículo,Ano,Quilometragem,Potência do motor,Combustível,Kit GNV,Câmbio,Direção,Cor,Portas,Final de placa;;Particular;Três Pontas;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/uno-1-5-1991-1098405714;10/11/2022
Publicado em 18/10 às 06:40;cód. 1098215989;68.000;Aceita troca;Carros, vans e utilitários,FORD 2.8 ISF DIESEL 4X4 MANUAL,FORD,1991,100000,Diesel,Não,Hidráulica;Categoria,Modelo,Marca,Ano,Quilometragem,Combustível,Kit GNV,Direção;;Particular;Ipuiúna;https://mg.olx.com.br/regiao-de-pocos-de-caldas-e-varginha/autos-e-pecas/carros-vans-e-utilitarios/f4000-1098215989;10/11/2022
